A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.7775009537145	7.45743869937893	6.92406051946832	-0.533378179910613	12.0755399266279	11.9089299396791	0	1.20216665828917e-06	1.31347701181858e-06	0.788237387994078	1	1	0	497097	Xkr4	chr1
27395	4.20821825767372	0.483266199284689	0.0375401645028317	-0.445726034781857	0	0	0	0.982973795586472	0.999783341129655	0.989305259196134	0	0	0	27395	Mrpl15	chr1
18777	5.28181775577204	0.293138034851815	-0.366958962397112	-0.660096997248926	0	0	0	0.999144068018564	0.998557792621662	0.976801823639126	0	0	0	18777	Lypla1	chr1
21399	5.00076543219031	0.371119417990177	0.408369022913513	0.0372496049233364	0	0	0	0.999334422875864	0.999091184148601	0.99998779365061	0	0	0	21399	Tcea1	chr1
58175	1.6102988938924	-5.48790418212369	-5.02384088835667	0.464063293767019	-17.5184317827707	-15.6882314474812	0	6.43692946090282e-08	1.49644748912739e-07	0.996854467785753	-1	-1	0	58175	Rgs20	chr1
108664	5.76222767561418	-0.814323123604515	-1.03294786765811	-0.218624744053592	0	-0.268920366251014	0	0.915162900447529	0.397415381325731	0.999933352882031	0	0	0	108664	Atp6v1h	chr1
12421	6.29385329507935	-0.931340593012134	-0.316937899206597	0.614402693805537	0	0	0	0.674311425343906	0.999198512644434	0.988801947864801	0	0	0	12421	Rb1cc1	chr1
319263	5.95347435881633	-0.073438225088875	0.16859146412413	0.242029689213004	0	0	0	0.99991813503393	0.999762992984122	0.999697482638689	0	0	0	319263	Pcmtd1	chr1
59014	5.60684363566037	1.01751500582509	1.31823844561707	0.300723439791986	0.0871318520676615	1.58331880099206	0	0.466363782755667	0.076102234872256	0.99671988592349	0	0	0	59014	Rrs1	chr1
76187	0.507810290359411	-1.31834172247959	-1.34304365994854	-0.0247019374689491	-1.00342409010883	-1.10776902786199	0	0.172634742805591	0.150190154586252	0.999002652548729	0	0	0	76187	Adhfe1	chr1
17864	3.15250319239902	0.855877863054244	1.33675566574442	0.480877802690177	0	1.52466755017924	0	0.73601813909847	0.0830242912456869	0.974991376827789	0	0	0	17864	Mybl1	chr1
70675	6.10028773467171	-0.329409646922375	-0.0163179836197278	0.313091663302647	0	0	0	0.998706736353086	0.99997682892516	0.999245772020986	0	0	0	70675	Vcpip1	chr1
170755	2.97944015002248	1.5699543024213	0.388978382998184	-1.18097591942312	2.8313555581259	0	-0.920620310934958	0.0111101940149206	0.995341752732459	0.192154002920607	0	0	0	170755	Sgk3	chr1
620986	1.87609827155865	1.12590541818487	0.105410866197658	-1.02049455198721	0.642816090639046	0	-0.107670418979255	0.269210897724072	0.999654270582243	0.458463762777117	0	0	0	620986	NA	NA
73824	3.5449149974642	0.368135431646559	0.223920545608424	-0.144214886038134	0	0	0	0.998203094863182	0.999580309733221	0.999793957254719	0	0	0	73824	Snhg6	chr1
26754	6.02595349380437	0.0562553992567763	-0.147422094896914	-0.20367749415369	0	0	0	0.999988015817202	0.999961912951823	0.999957790195096	0	0	0	26754	Cops5	chr1
211660	4.74205512467988	-0.357129585552462	-0.0100905717470647	0.347039013805397	0	0	0	0.985392805104811	0.999805419751956	0.988725870168277	0	0	0	211660	Cspp1	chr1
211673	7.70321547675119	-0.416570755233992	-0.235808534276555	0.180762220957437	0	0	0	0.995631993900373	0.99904165137314	0.999633876911591	0	0	0	211673	Arfgef1	chr1
329093	-2.18033667675614	7.56129146232914	10.1489476337459	2.58765617141676	15.2013736233871	20.9300695915137	3.16764506601659	2.06214697701464e-07	1.84193198435101e-08	0.00671410852035009	1	1	0	329093	Cpa6	chr1
109294	2.09501668223907	1.00155878923883	0.780371491007232	-0.221187298231601	0.00279382133340309	0	0	0.502505911696744	0.660337981897293	0.930286754102531	0	0	0	109294	Prex2	chr1
240725	2.79158772895455	3.46964221845361	4.18523885392659	0.715596635472985	8.87716582246714	11.1620359437947	0	1.07079159140966e-05	1.98031874694892e-06	0.808567505703783	1	1	0	240725	Sulf1	chr1
17978	7.17149645152099	-0.246254120938731	-0.378392379518945	-0.132138258580214	0	0	0	0.999902226390755	0.999633132397658	0.999980867634261	0	0	0	17978	Ncoa2	chr1
72265	7.218474551087	-1.03431520838986	-0.570929976484718	0.463385231905144	-0.286925927439752	0	0	0.390748598237708	0.996434907736413	0.99933178463576	0	0	0	72265	Tram1	chr1
212442	3.68418006496941	-1.12558995673063	-1.90839358372118	-0.782803626990544	-0.636935835511595	-4.8034870469185	0	0.271026993207757	0.000684728508334508	0.876527879937433	0	-1	0	212442	Lactb2	chr1
14048	-0.31578347557175	6.58637425266105	7.65460531446712	1.06823106180607	9.14295695545769	10.558102322173	0.0953379272366325	9.39637979338241e-06	3.33718662351982e-06	0.473357667812671	1	1	0	14048	Eya1	chr1
17681	-0.407678803722747	-3.09120941393341	-5.18539372469105	-2.09418431075763	-4.20700336100507	-8.8384369165415	-3.2520882787924	0.00151948434827995	1.1518954392859e-05	0.00588135141397494	-1	-1	0	17681	Msc	chr1
21749	3.37905967711005	0.497501439939733	0.285118275427461	-0.212383164512272	0	0	0	0.993837002042971	0.999286246308998	0.999594039253455	0	0	0	21749	Terf1	chr1
226866	1.46959186848006	6.99819701366057	7.17446379740094	0.176266783740368	15.8657365418426	17.4148571501715	0	1.45501234067365e-07	7.09629943605248e-08	0.968635953651536	1	1	0	226866	Sbspon	chr1
19989	8.83242483067334	0.0127783312532053	0.331211181294044	0.318432850040839	0	0	0	0.999996468076452	0.999698889707238	0.99985562921872	0	0	0	19989	Rpl7	chr1
98711	5.54616930611682	0.373794584067459	0.674817713707423	0.301023129639963	0	0	0	0.992798621947897	0.927536314822494	0.996858438507859	0	0	0	98711	Rdh10	chr1
29819	4.52405322922432	0.0157740374831699	0.28229790256769	0.26652386508452	0	0	0	0.999995433809565	0.999806752693969	0.999865790762458	0	0	0	29819	Stau2	chr1
66799	4.47336940914936	0.586397567355787	0.620527546489673	0.034129979133886	0	0	0	0.991758651356139	0.988687002244832	0.999982635303165	0	0	0	66799	Ube2w	chr1
67923	5.65450500806288	0.953820589215879	0.698070428248201	-0.255750160967678	0	0	0	0.62634256792392	0.970920038602545	0.999768470307258	0	0	0	67923	Eloc	chr1
70397	4.08988355517564	0.857528254990636	0.366133482327573	-0.491394772663063	0	0	0	0.834873679702035	0.999339873421524	0.997424941277706	0	0	0	70397	Tmem70	chr1
17087	1.39762780239325	-1.9895331521393	-1.33649775610034	0.653035396038954	-4.15370243704086	-1.39601601946391	0	0.00161518741222314	0.100214934516526	0.930540854774935	-1	0	0	17087	Ly96	chr1
57339	1.88077182849784	0.140457194387245	1.7126234087227	1.57216621433546	0	3.77925269105229	3.07601642717685	0.99960182726972	0.00272278389887351	0.00765202440463254	0	1	0	57339	Jph1	chr1
94227	2.0173052356813	4.03224876314851	5.09357583436904	1.06132707122053	4.03815739467804	5.089820455566	0.0699854311630782	0.00197079723610833	0.000511440963072135	0.496299832561405	1	1	0	94227	Pi15	chr1
